,internal_id,video_id,video_name
107,mfewuh,48z-q_9C09U,Human Biology Lecture: Chapter 7- Cellular Basis of Inheritance (Meiosis).mp4
108,msskhv,PLAMJJfZ-eo,"Pediatric Dentistry | Primary Tooth Anatomy | INBDE, ADAT.mp4"
109,czeswe,jzqBKHRJLWE,Saliva and the Stephan Curve.mp4
110,ulgywi,BgkDDtOztEQ,"Prosthodontics | Mechanical Properties | INBDE, ADAT.mp4"
111,npurai,dDPcUO41nkE,Chapter 36   Animal Development.mp4
112,iyyoht,MLmLr0KW3f0,Oral Medicine | CPR | INBDE.mp4
113,aqeiwr,M4l0Vr-gR7o,"Oral Pathology | Connective Tissue Malignant Tumors | INBDE, ADAT.mp4"
114,uhrpei,TucFrVQbKTg,"Human Biology Lecture: Ch 9- Molecular Biology, DNA and Gene Expression.mp4"
115,fxddqo,Q1U1rOO6t4I,"Oral Surgery | Trauma & Orthognathic Surgery | INBDE, ADAT.mp4"
116,xtlxph,Ewj3Wf9D4zw,Head & Neck Anatomy | Triangles of the Neck & Neck Muscles | INBDE.mp4
117,sdipnw,mGfgKADpNS0,Perceptual Ability Test | Top Front End | DAT.mp4
118,jautph,F_O0Rj3IWn8,Head & Neck Anatomy | Tongue Muscles | INBDE.mp4
119,afsikc,D3uYW0jEsGs,"Oral Surgery | Orofacial Pain | INBDE, ADAT.mp4"
120,tpfibt,mjmaykudgyA,"Prosthodontics | Denture Processing & Materials | INBDE, ADAT.mp4"
121,olaqxj,hPmpU72Cgsg,Head & Neck Anatomy | Pharynx & Larynx Muscles | INBDE.mp4
122,wqyijj,XqzL4f6L_Fo,"Patient Management | Evidence-Based Dentistry | INBDE, ADAT.mp4"
123,iqntxc,IIfeX44RI9k,Chapter 3 Part B Cells Anatomy & Physiology Lecture.mp4
124,afsikc,D3uYW0jEsGs,"Oral Surgery | Orofacial Pain | INBDE, ADAT.mp4"
125,bmqioa,nMMSi735VEM,"Prosthodontics | Metal Alloys | INBDE, ADAT.mp4"
126,mowrkl,xcOMHwjNLaA,"Lecture 5.2: Alignment and Representation (Multimodal Machine Learning, Carnegie Mellon University).mp4"
127,whsuyw,PmvLB5dIEp8,What Is Organic Chemistry?: Crash Course Organic Chemistry #1.mp4
128,yecmvl,gMKsubigjN0,"Orthodontics | Comprehensive Treatment & Appliances | INBDE, ADAT.mp4"
129,fcxvmr,PLAMJJfZ-eo,"Pediatric Dentistry | Tooth Development and Eruption | INBDE, ADAT.mp4"
130,eupjay,OYCRLL9_P-U,Human Anatomy Lecture  Ch 19 The Heart Pt 2.mp4
131,hrpnxe,tKcLwCPQc1U,Human Biology Lecture: Ch 6- Reproduction at the Cellular Level Part 1.mp4
132,dlfoyw,IRxyWfmXLXA,"Orthodontics | Diagnosis & Treatment Planning | INBDE, ADAT.mp4"
133,yirczy,reqF1EORKSg,Head & Neck Anatomy | Muscles of Mastication | INBDE.mp4
